
=== GROUP: major ===

--- openai (53 entries) ---
2022-11-30  GPT-3.5-turbo  (id: openai-gpt-35-turbo-202211, category: chat)
2023-03-01  Whisper API  (id: openai-whisper-api-202303, category: audio)
2023-03-14  GPT-4  (id: openai-gpt-4-202303, category: chat)
2023-11-06  GPT-4 Turbo  (id: openai-gpt-4-turbo-202311, category: chat)
2023-11-06  DALL-E 3  (id: openai-dalle3-202311, category: image)
2023-11-06  TTS-1 / TTS-1 HD  (id: openai-tts1-202311, category: audio)
2024-01-25  text-embedding-3-small  (id: openai-embedding3-small-202401, category: embedding)
2024-01-25  text-embedding-3-large  (id: openai-embedding3-large-202401, category: embedding)
2024-05-13  GPT-4o  (id: openai-gpt-4o-202405, category: chat)
2024-07-18  GPT-4o mini  (id: openai-gpt-4o-mini-202407, category: chat)
2024-09-12  o1-preview  (id: openai-o1-preview-202409, category: chat)
2024-09-12  o1-mini  (id: openai-o1-mini-202409, category: chat)
2024-10-01  GPT-4o Realtime Preview  (id: openai-gpt4o-realtime-preview-202410, category: audio)
2024-12-05  o1  (id: openai-o1-202412, category: chat)
2024-12-09  Sora  (id: openai-sora-202412, category: video)
2025-01-31  o3-mini  (id: openai-o3-mini-202501, category: chat)
2025-02-27  GPT-4.5  (id: openai-gpt-45-202502, category: chat)
2025-03-19  o1-pro  (id: openai-o1-pro-202503, category: chat)
2025-03-20  GPT-4o Transcribe  (id: openai-gpt4o-transcribe-202503, category: audio)
2025-03-20  GPT-4o mini Transcribe  (id: openai-gpt4o-mini-transcribe-202503, category: audio)
2025-03-20  GPT-4o mini TTS  (id: openai-gpt4o-mini-tts-202503, category: audio)
2025-04-14  GPT-4.1  (id: openai-gpt-41-202504, category: chat)
2025-04-14  GPT-4.1 mini  (id: openai-gpt-41-mini-202504, category: chat)
2025-04-14  GPT-4.1 nano  (id: openai-gpt-41-nano-202504, category: chat)
2025-04-16  o3  (id: openai-o3-202504, category: chat)
2025-04-16  o4-mini  (id: openai-o4-mini-202504, category: chat)
2025-04-23  GPT Image 1  (id: openai-gpt-image-1-202504, category: image)
2025-06-10  o3-pro  (id: openai-o3-pro-202506, category: chat)
2025-08-07  GPT-5  (id: openai-gpt-5-202508, category: chat)
2025-08-07  GPT-5 mini  (id: openai-gpt-5-mini-202508, category: chat)
2025-08-07  GPT-5 nano  (id: openai-gpt-5-nano-202508, category: chat)
2025-08-28  gpt-realtime  (id: openai-gpt-realtime-202508, category: audio)
2025-09-30  Sora 2  (id: openai-sora2-202509, category: video)
2025-10-06  GPT Image 1 mini  (id: openai-gpt-image-1-mini-202510, category: image)
2025-10-06  gpt-realtime-mini  (id: openai-gpt-realtime-mini-202510, category: audio)
2025-11-13  GPT-5.1  (id: openai-gpt-51-202511, category: chat)
2025-12-10  GPT-5.2  (id: openai-gpt-52-202512, category: chat)
2025-12-16  GPT Image 1.5  (id: openai-gpt-image-1-5-202512, category: image)
2026-02-05  GPT-5.3-Codex  (id: openai-gpt-53-codex-202602, category: chat)
2026-03-05  GPT-5.4  (id: openai-gpt-54-202603, category: chat)
2026-04-21  GPT Image 2  (id: openai-gpt-image-2-202604, category: image)
2026-04-23  GPT-5.5  (id: openai-gpt-55-202604, category: chat)
2026-05-07  gpt-realtime-2  (id: openai-gpt-realtime-2-202605, category: audio)
2026-05-07  GPT-Realtime-Translate  (id: openai-gpt-realtime-translate-202605, category: audio)
2026-05-07  GPT-Realtime-Whisper  (id: openai-gpt-realtime-whisper-202605, category: audio)
2026-07-06  gpt-realtime-2.1  (id: openai-gpt-realtime-2-1-202607, category: audio)
2026-07-06  gpt-realtime-2.1-mini  (id: openai-gpt-realtime-2-1-mini-202607, category: audio)
2026-07-09  GPT-5.6 Sol  (id: openai-gpt-56-sol-202607, category: chat)
2026-07-09  GPT-5.6 Terra  (id: openai-gpt-56-terra-202607, category: chat)
2026-07-09  GPT-5.6 Luna  (id: openai-gpt-56-luna-202607, category: chat)
2026-08-10  GPT-5.6-Cyber  (id: openai-gpt56cyber-202608, category: chat)
2026-09-04  GPT-6 Astra  (id: openai-gpt6astra-202609, category: chat)
2026-09-08  GPT Image 2.5  (id: openai-gptimage25-202609, category: image)

--- anthropic (28 entries) ---
2023-03-14  Claude 1  (id: anthropic-claude-1-202303, category: chat)
2023-03-14  Claude Instant  (id: anthropic-claude-instant-202303, category: chat)
2023-07-11  Claude 2  (id: anthropic-claude-2-202307, category: chat)
2023-11-21  Claude 2.1  (id: anthropic-claude-2-1-202311, category: chat)
2024-03-04  Claude 3 Opus  (id: anthropic-claude-3-opus-202403, category: chat)
